                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 3.3477,                 5.0622,                 3.8472,                0.31214,                0.00971,                0.00518,                0.00138,                 3.2151,                 4.6612,                 3.8306,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                 3.3123,                 5.0712,                 3.8422,                0.29158,                0.00884,                0.00648,                0.00139,                 3.2117,                 4.6683,                 3.8318,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                 3.3587,                 5.0789,                 3.8343,                0.27761,                0.00879,                0.00482,                0.00122,                 3.2122,                 4.6796,                 3.8316,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                 3.3562,                 5.0896,                 3.8386,                0.00073,                0.03317,                0.00408,                0.00105,                 3.2142,                 4.7005,                 3.8304,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                 3.3374,                 5.0556,                 3.8403,                0.26632,                0.00756,                0.00486,                0.00129,                 3.2104,                  4.685,                 3.8289,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                 3.3535,                 5.0553,                 3.8107,                0.28386,                 0.0058,                0.00513,                0.00126,                 3.2088,                 4.6704,                 3.8247,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                 3.3526,                 5.1005,                 3.8163,                0.29757,                0.00621,                0.00503,                0.00127,                 3.2056,                  4.643,                 3.8195,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                  3.302,                 5.0465,                 3.8292,                0.32534,                0.00574,                0.00489,                0.00143,                 3.2054,                 4.6341,                 3.8157,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 3.3908,                 5.0676,                 3.8366,                0.32547,                 0.0058,                0.00485,                0.00157,                 3.2031,                 4.6183,                  3.813,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 3.3358,                 5.0633,                 3.8316,                0.35377,                 0.0058,                0.00539,                0.00169,                  3.202,                 4.6115,                   3.81,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                 3.3274,                 5.1163,                 3.8115,                0.00462,                0.04905,                0.00728,                0.00236,                 3.1976,                 4.6145,                 3.8064,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                 3.3286,                 5.0661,                 3.8197,                0.39623,                0.00662,                0.00773,                0.00243,                 3.1978,                  4.599,                 3.8018,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 3.2153,                 5.2272,                 3.7952,                 0.3852,                0.00862,                0.00626,                0.00194,                 3.1944,                 4.5715,                 3.7901,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 3.2194,                 5.3328,                 3.7609,                  0.003,                0.04123,                0.00459,                0.00138,                 3.1848,                 4.5706,                 3.7848,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                 3.1726,                 5.2514,                 3.7929,                0.00372,                0.03847,                0.00463,                0.00134,                 3.1845,                 4.5587,                  3.778,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                  3.194,                 5.2593,                 3.7794,                 0.0057,                0.03858,                0.00554,                 0.0015,                 3.1802,                  4.547,                 3.7722,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                  3.182,                 5.2186,                 3.7541,                 0.0062,                0.03956,                0.00551,                0.00153,                 3.1766,                 4.5534,                 3.7662,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                 3.2267,                 5.2517,                 3.7556,                 0.2983,                0.01726,                0.00506,                 0.0014,                 3.1774,                 4.5342,                 3.7598,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                 3.2193,                 5.2154,                 3.7741,                0.32764,                0.01194,                0.00505,                0.00138,                  3.175,                 4.5319,                 3.7567,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                  3.205,                 5.1848,                  3.733,                0.26994,                0.01941,                0.00567,                0.00162,                 3.1778,                  4.537,                  3.755,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                 3.1879,                 5.1504,                 3.7714,                0.02245,                0.03894,                0.01502,                 0.0046,                 3.1738,                 4.5399,                  3.756,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                 3.2201,                 5.3184,                 3.7512,                0.02234,                0.03654,                0.01514,                0.00396,                 3.1738,                 4.5246,                 3.7566,             2.3681e-06,             2.3681e-06,             2.3681e-06
